 # DT  Final_Error
   1.0000000000000000E-002   4.9049999999995819E-002
   1.0000000000000000E-003   4.9049999999697391E-003
   1.0000000000000000E-004   4.9050000022798912E-004
   1.0000000000000001E-005   4.9049999747197148E-005
